,maid,longitude,latitude,horizontal_accuracy,city_hasc,postcode,Date,Hour,count,Y,Color
0,618818485069ea16f8d1fdf9528d07e8d4565619,128.1989,-3.670834,9.0,ID.MA.AM,97128.0,16-06-21,17:00:01,2,0.999,green
1,572e5e889565a29025ff479d1083f244e00f5959,128.20331,-3.07247,9.0,ID.MA.SB,97561.0,16-06-21,17:00:03,96,0.999,green
2,618818485069ea16f8d1fdf9528d07e8d4565619,128.1989,-3.670834,3.0,ID.MA.AM,97128.0,16-06-21,17:00:04,2,1.0,green
3,6f3db2f02f0fc780bcd5438cd94090da8ae7e512,128.326758,-3.582966,18.0,ID.MA.MT,97544.0,16-06-21,17:00:28,1,0.999,green
4,0b387600a2b0b1136826faadf3c5696de9e0f884,128.197999,-3.071406,5.0,ID.MA.SB,97561.0,16-06-21,17:00:29,1,1.0,green
5,cd9b80262804045930254e4bc1bee847b0d1434b,130.49494,-3.081081,7.0,,,16-06-21,17:00:31,123,0.999,green
6,843e14b5332caea0b609ce57093c8c83dafecadf,128.24846,-3.65455,10.0,ID.MA.AM,97211.0,16-06-21,17:00:36,1462,1.0,green
7,42e2952a0280336eaed618f9ad4171cbb8d5ad81,128.186408,-3.687745,10.0,ID.MA.AM,97123.0,16-06-21,17:00:45,3252,0.999,green
8,843e14b5332caea0b609ce57093c8c83dafecadf,128.2484,-3.654552,9.0,ID.MA.AM,97211.0,16-06-21,17:00:46,1462,1.0,green
9,4684bc9b9c767d230cca9658cddb3e306a2b523b,128.174921,-3.704308,13.0,ID.MA.AM,97115.0,16-06-21,17:00:46,1,0.999,green
10,843e14b5332caea0b609ce57093c8c83dafecadf,128.2484,-3.654552,10.0,ID.MA.AM,97211.0,16-06-21,17:00:47,1462,1.0,green
11,1c1310f88dd8bbf16379d381fee24afc04250a88,128.18288,-3.689726,9.0,ID.MA.AM,97124.0,16-06-21,17:00:47,3198,0.999,green
13,ee7d810856c73e6ed3c07841913cb0b1f34acfe2,128.104886,-3.699291,8.0,ID.MA.AM,97226.0,16-06-21,17:00:51,1447,0.999,green
14,a2a671c781633b132a57ee908085867374dd301b,128.19632,-3.069633,10.0,ID.MA.SB,97561.0,16-06-21,17:00:51,2,0.999,green
12,0079b931d52588fc3cb0a975208f27954ce93783,128.3203,-3.567315,7.0,ID.MA.MT,97544.0,16-06-21,17:00:51,15,1.0,green
15,09d651945a48923383fd4b64c0f91acf4a6b7684,128.19029,-3.687035,13.0,ID.MA.AM,97122.0,16-06-21,17:00:55,2666,0.999,green
16,79e527cd9d2fc065cec267f4882973eef3c0448e,129.780433,-3.325829,8.0,ID.MA.MT,97544.0,16-06-21,17:00:59,1,1.0,green
17,17642114ea777e94a8f8ad6c95b09448df1d20cf,128.23033,-3.693693,13.0,ID.MA.AM,97129.0,16-06-21,17:01:02,52,0.999,green
18,a2a671c781633b132a57ee908085867374dd301b,128.19631,-3.06964,15.0,ID.MA.SB,97561.0,16-06-21,17:01:04,2,0.999,green
19,09559e0ef6aefa74f53ef362129668b7b732775f,128.196585,-3.63947,4.0,ID.MA.AM,97222.0,16-06-21,17:01:08,36,1.0,green
20,5475bb3bc3f551c67fb987cd7643573026d7f39b,128.202002,-3.682889,12.0,ID.MA.AM,97128.0,16-06-21,17:01:17,2,0.999,green
21,1c1310f88dd8bbf16379d381fee24afc04250a88,128.18288,-3.689726,5.0,ID.MA.AM,97124.0,16-06-21,17:01:18,3198,1.0,green
22,4f8fe20f77d7b6be5a2690e4cdec190ce02e35c8,128.21876,-3.67779,17.0,ID.MA.AM,97128.0,16-06-21,17:01:18,2114,0.999,green
23,28b627c27c724712fe7e858f8851d2d4c9826ade,128.18953,-3.621109,9.0,ID.MA.AM,97221.0,16-06-21,17:01:18,1230,1.0,green
24,42e2952a0280336eaed618f9ad4171cbb8d5ad81,128.18642,-3.687486,7.0,ID.MA.AM,97123.0,16-06-21,17:01:20,3252,1.0,green
25,e932d6c8d9261674b03560d501212a9abd6478be,129.966472,-3.030424,6.0,ID.MA.MT,97544.0,16-06-21,17:01:22,1,1.0,green
26,09d651945a48923383fd4b64c0f91acf4a6b7684,128.190298,-3.687035,10.0,ID.MA.AM,97122.0,16-06-21,17:01:26,2666,0.999,green
27,376ba7c9158a8c85b9cc3dc39ebc1cb5d7c33b8e,128.30775,-3.603603,14.0,ID.MA.MT,97544.0,16-06-21,17:01:35,328,0.999,green
