,maid,longitude,latitude,horizontal_accuracy,city_hasc,postcode,Date,Hour,count,Y,Color
85,572e5e889565a29025ff479d1083f244e00f5959,128.20331,-3.07247,9.0,ID.MA.SB,97561.0,16-06-21,17:00:03,96,0.999,green
97,618818485069ea16f8d1fdf9528d07e8d4565619,128.1989,-3.670834,9.0,ID.MA.AM,97128.0,16-06-21,17:00:04,2,1.0,green
118,6f3db2f02f0fc780bcd5438cd94090da8ae7e512,128.326758,-3.582966,18.0,ID.MA.MT,97544.0,16-06-21,17:00:28,1,0.999,green
14,0b387600a2b0b1136826faadf3c5696de9e0f884,128.197999,-3.071406,5.0,ID.MA.SB,97561.0,16-06-21,17:00:29,1,1.0,green
71,4684bc9b9c767d230cca9658cddb3e306a2b523b,128.174921,-3.704308,13.0,ID.MA.AM,97115.0,16-06-21,17:00:46,1,0.999,green
127,79e527cd9d2fc065cec267f4882973eef3c0448e,129.780433,-3.325829,8.0,ID.MA.MT,97544.0,16-06-21,17:00:59,1,1.0,green
30,17642114ea777e94a8f8ad6c95b09448df1d20cf,128.23033,-3.693693,13.0,ID.MA.AM,97129.0,16-06-21,17:01:02,52,0.999,green
162,a2a671c781633b132a57ee908085867374dd301b,128.19631,-3.06964,15.0,ID.MA.SB,97561.0,16-06-21,17:01:04,2,0.999,green
11,09559e0ef6aefa74f53ef362129668b7b732775f,128.196585,-3.63947,4.0,ID.MA.AM,97222.0,16-06-21,17:01:08,36,1.0,green
81,5475bb3bc3f551c67fb987cd7643573026d7f39b,128.202002,-3.682889,12.0,ID.MA.AM,97128.0,16-06-21,17:01:17,2,0.999,green
210,e932d6c8d9261674b03560d501212a9abd6478be,129.966472,-3.030424,6.0,ID.MA.MT,97544.0,16-06-21,17:01:22,1,1.0,green
56,376ba7c9158a8c85b9cc3dc39ebc1cb5d7c33b8e,128.30775,-3.603603,14.0,ID.MA.MT,97544.0,16-06-21,17:01:35,328,0.999,green
221,f23bc4060684ebd81a4a4f23e7cded5e9782b699,128.94696,-3.309613,6.0,ID.MA.MT,97544.0,16-06-21,17:01:38,1,0.999,green
16,0ba146defe581fc90f8bf0d0eb57d1db9097b46f,128.16078,-3.585585,8.0,,,16-06-21,17:01:54,26,0.999,green
132,81897a847cba87414c80a4818e4e5737bd2a0f8f,128.17944,-3.69816,5.0,ID.MA.AM,97126.0,16-06-21,17:01:57,1,1.0,green
202,db1b57d476cda47f20bdb3c472cd8bd04476ed03,128.22856,-3.652903,10.0,ID.MA.AM,97212.0,16-06-21,17:02:06,3,1.0,green
121,706eef90444bfa719e3b35a9f5552acffe757233,128.209682,-3.675675,2.0,ID.MA.AM,97128.0,16-06-21,17:02:06,7,0.999,green
207,e00aa7064de9bc2550186c4a9e134a33350a90a8,128.22319,-3.683232,6.0,ID.MA.AM,97128.0,16-06-21,17:02:23,1,1.0,green
77,4f8fe20f77d7b6be5a2690e4cdec190ce02e35c8,128.218761,-3.677786,17.0,ID.MA.AM,97128.0,16-06-21,17:02:55,2114,0.999,green
205,de3452438d3aeeee60e59871bc96d11664dcfae3,128.20724,-3.67156,8.0,ID.MA.AM,97128.0,16-06-21,17:03:16,1,0.999,green
200,d88adbda35392e19aba52652695b88fbb2cc2e5a,128.207099,-3.657657,9.0,,,16-06-21,17:03:18,8,1.0,green
19,0ed6cba4475d3c353164c4f4f32a6dbc12968d23,128.2264,-3.684658,9.0,ID.MA.AM,97128.0,16-06-21,17:03:39,372,1.0,green
92,5c13a4d29ef585a1bfdcb0755ac1e14497a40b50,128.352205,-3.331969,11.0,ID.MA.SB,97566.0,16-06-21,17:04:19,11,1.0,green
134,83c0649379120186d4598aed2e93fd67c6f21f49,128.223022,-3.623621,12.0,ID.MA.AM,97217.0,16-06-21,17:04:31,2,1.0,green
