,maid,longitude,latitude,horizontal_accuracy,city_hasc,postcode,Date,Hour,count,Y,Color
94,ed4eb930adb4bd44ec49f517d78fb0abf81d1d0e,128.22112,-3.69212,6.0,ID.MA.AM,97128.0,16-06-21,02:00:52,162,1.0,green
50,754b8e93a76db23ff144c6a0d7a9fb2cb2789055,128.14689,-3.72725,17.0,ID.MA.AM,97117.0,16-06-21,02:03:28,2147,0.999,green
81,c333de0bdbb07fbda3c33d605864975a223c025d,128.18461,-3.68865,7.0,ID.MA.AM,97123.0,16-06-21,02:03:48,11,0.999,green
57,82cdc266bcb3b49c7cd0222ce473084acc99431b,128.178421,-3.702825,16.0,ID.MA.AM,97114.0,16-06-21,02:03:53,296,1.0,green
79,bf3f0b4311ba7966675f1ded822b3881a602ddc4,128.1325,-3.76577,8.0,ID.MA.AM,97117.0,16-06-21,02:03:56,127,0.999,green
10,17b1c03a9e13d389d9fdba82e1402b3f2b1c1bdc,128.192452,-3.680362,3.0,ID.MA.AM,97128.0,16-06-21,02:03:57,4,1.0,green
56,7fe1a4e7fa7cb43ddf1bfa23a3bb10250a5ef6c3,128.17476,-3.69912,6.0,ID.MA.AM,97112.0,16-06-21,02:04:47,5,1.0,green
8,15dee6ef9ae5425d5ccf9ccae67fb412a94cecc9,128.16142,-3.71021,11.0,ID.MA.AM,97117.0,16-06-21,02:04:53,3,1.0,green
41,5e712b131d594cf6ef2d66f2dd5ed1a8750e1180,128.181398,-3.729729,13.0,ID.MA.AM,97116.0,16-06-21,02:06:54,19,0.999,green
72,abfca932b68d7338e004509b85b1208e6db130ed,128.20252,-3.67027,14.0,ID.MA.AM,97128.0,16-06-21,02:07:03,1,1.0,green
74,b133ceae9b065a445b5654d03c2151ba5b147628,128.205515,-3.099099,5.0,ID.MA.SB,97561.0,16-06-21,02:08:02,117,1.0,green
60,8c501afecc18a90c21db843ca99b613455b3d5dc,128.251572,-3.625177,5.0,ID.MA.AM,97214.0,16-06-21,02:08:15,1,0.999,green
61,8d2627068cc185c5fe2381aa2e09efa3b7a315b1,128.964631,-3.299396,3.0,ID.MA.MT,97544.0,16-06-21,02:08:19,1,1.0,green
31,4a01136484a6145e8723a9f1b0bcde33b3417750,128.203339,-3.081081,18.0,ID.MA.SB,97561.0,16-06-21,02:08:46,5,1.0,green
101,fef6274e41ef8b86b503881ece2c1791e2059900,128.20709,-3.657657,7.0,,,16-06-21,02:08:58,7,1.0,green
77,bbfdb516e90cb80727164cff855fdb0b8cbd4cb6,128.184443,-3.686565,20.0,ID.MA.AM,97123.0,16-06-21,02:09:00,275,0.999,green
53,7892cb38b324d52f3f15bb233022861859ab59e3,128.08849,-3.71172,8.0,ID.MA.MT,97227.0,16-06-21,02:11:27,93,0.999,green
98,f5655417cff77cdd2cf4a986b53fd249d3deeb56,128.95189,-3.30859,13.0,ID.MA.MT,97544.0,16-06-21,02:11:28,993,1.0,green
59,85887486430916484d2dd48890165a11955f6cf4,128.194223,-3.693693,10.0,ID.MA.AM,97121.0,16-06-21,02:11:29,116,0.999,green
70,a8ee9d8d64ec52de06c962f495fbbd3fdd2a0e7c,128.22247,-3.624282,14.0,ID.MA.AM,97217.0,16-06-21,02:12:06,1,1.0,green
16,2483ad7c47c1155601e90bd349b751ca753bb387,127.92929,-3.7479,14.0,ID.MA.MT,,16-06-21,02:12:46,8,0.999,green
75,b155d26f7395eae899ee241bcf1b5f5df64a333d,128.18904,-3.657657,24.0,ID.MA.AM,97223.0,16-06-21,02:13:51,232,0.999,green
14,1dea1bad1229ce98f521b664932bd6f5605f8358,128.993612,-3.353867,6.0,ID.MA.MT,97544.0,16-06-21,02:14:28,1,0.999,green
45,655139e1005828f1615de97f296019f9b0067975,128.220977,-3.682175,13.0,ID.MA.AM,97128.0,16-06-21,02:15:38,463,0.999,green
13,1c1310f88dd8bbf16379d381fee24afc04250a88,128.17075,-3.70441,20.0,ID.MA.AM,97115.0,16-06-21,02:15:47,3198,1.0,green
11,18dddc20c7218795fa8b94c8f00ebb6c0354f4fb,128.189366,-3.681888,7.0,ID.MA.AM,97128.0,16-06-21,02:17:18,120,0.999,green
34,53569b51a22f1b5232483de1be33d51a2e51d021,128.420132,-2.863227,9.0,ID.MA.SB,97562.0,16-06-21,02:17:28,10,1.0,green
