,maid,longitude,latitude,horizontal_accuracy,city_hasc,postcode,Date,Hour,count,Y,Color
172609,90dedec5a26b69a7884579b7c3b4a96d75bb90f9,128.178776,-3.711711,6.0,ID.MA.AM,97116.0,16-06-21,00:03:02,124,0.999,green
664300,855a8469969f4d66dc99c513391f17a3fb7535b5,128.122001,-3.693693,7.0,,,16-06-21,00:03:07,1,1.0,green
282158,843e14b5332caea0b609ce57093c8c83dafecadf,128.20523,-3.71333,20.0,ID.MA.AM,97129.0,16-06-21,00:03:09,1462,0.999,green
33003,91bb706318f602b726f6042d2d5b3eedd48a0974,128.19884,-3.680428,3.0,ID.MA.AM,97128.0,16-06-21,00:03:09,1399,1.0,green
664301,0629172ab2f01133fd4cd2c03b3ff0bb390c7919,129.64967,-2.84713,10.0,ID.MA.MT,97544.0,16-06-21,00:03:15,2,0.999,green
664302,0629172ab2f01133fd4cd2c03b3ff0bb390c7919,129.64967,-2.84713,10.0,ID.MA.MT,97544.0,16-06-21,00:03:20,2,1.0,green
615248,0dbf3541e271760b172006ddf4b99be626ead0a2,128.183903,-3.697362,7.0,ID.MA.AM,97127.0,16-06-21,00:03:40,14,0.999,green
162916,5c05262d08fe85436782447d775023730d1f2bd5,128.66375,-3.56758,9.0,ID.MA.MT,97546.0,16-06-21,00:03:52,132,1.0,green
664303,4f64f270bbb3d1497ed7ecddc0589f6c5504ea16,128.203759,-3.691292,12.0,ID.MA.AM,97129.0,16-06-21,00:03:57,3,0.999,green
282159,843e14b5332caea0b609ce57093c8c83dafecadf,128.20525,-3.713319,20.0,ID.MA.AM,97129.0,16-06-21,00:03:59,1462,1.0,green
312718,8be2353c9bbbefa971cb5f67ba48c433212ec2bb,128.17253,-3.70651,9.0,ID.MA.AM,97116.0,16-06-21,00:04:12,7,1.0,green
170291,31156368c9966fd40cd7caf0536d3375b6c48b7f,128.22002,-3.621621,8.0,ID.MA.AM,97217.0,16-06-21,00:04:16,154,0.999,green
260874,3f12b1caaddbac9f2390e80659e7ada1fd1b7b6b,128.120093,-2.955265,5.0,ID.MA.SB,97561.0,16-06-21,00:04:20,4,1.0,green
312719,8be2353c9bbbefa971cb5f67ba48c433212ec2bb,128.17253,-3.70651,9.0,ID.MA.AM,97116.0,16-06-21,00:04:21,7,0.999,green
170292,31156368c9966fd40cd7caf0536d3375b6c48b7f,128.22001,-3.62161,6.0,ID.MA.AM,97217.0,16-06-21,00:04:26,154,1.0,green
282160,843e14b5332caea0b609ce57093c8c83dafecadf,128.205245,-3.713319,5.0,ID.MA.AM,97129.0,16-06-21,00:04:31,1462,0.999,green
3127,c4b84290951f9b705673694d5b73cc7130b9d539,129.92834,-2.98195,11.0,ID.MA.MT,97544.0,16-06-21,00:04:33,459,1.0,green
3128,c4b84290951f9b705673694d5b73cc7130b9d539,129.928342,-2.981949,11.0,ID.MA.MT,97544.0,16-06-21,00:04:44,459,1.0,green
3129,c4b84290951f9b705673694d5b73cc7130b9d539,129.928342,-2.981949,18.0,ID.MA.MT,97544.0,16-06-21,00:05:01,459,1.0,green
169389,46cc6a4402c3b8f8c6fa8294ca328ce6ffb4b5ad,127.97133,-3.38739,9.0,ID.MA.SB,97571.0,16-06-21,00:05:30,196,1.0,green
137830,42e2952a0280336eaed618f9ad4171cbb8d5ad81,128.186448,-3.6875,5.0,ID.MA.AM,97123.0,16-06-21,00:05:32,3252,0.999,green
137831,42e2952a0280336eaed618f9ad4171cbb8d5ad81,128.18643,-3.6875,5.0,ID.MA.AM,97123.0,16-06-21,00:05:41,3252,1.0,green
169390,46cc6a4402c3b8f8c6fa8294ca328ce6ffb4b5ad,127.97134,-3.38739,9.0,ID.MA.SB,97571.0,16-06-21,00:05:45,196,0.999,green
3130,c4b84290951f9b705673694d5b73cc7130b9d539,129.92834,-2.98195,18.0,ID.MA.MT,97544.0,16-06-21,00:05:52,459,1.0,green
66706,11c6d72297b7b434de313514b8db336b52548bdd,128.194223,-3.693693,3.0,ID.MA.AM,97121.0,16-06-21,00:06:09,234,1.0,green
171918,4be0e227df82ac83fe85a9c24c05c774bb487072,128.194223,-3.693693,7.0,ID.MA.AM,97121.0,16-06-21,00:06:23,202,1.0,green
664307,e1ee4eb6ad63d233db5bfc18ceda7cc64351dada,129.64039,-3.315315,13.0,ID.MA.MT,97544.0,16-06-21,00:06:24,1,0.999,green
323771,1d91fef5eefe0a5cbd9e532a35129f5e25a3698c,128.16881,-3.66169,7.0,ID.MA.AM,97224.0,16-06-21,00:06:30,259,1.0,green
323772,1d91fef5eefe0a5cbd9e532a35129f5e25a3698c,128.16881,-3.66168,10.0,ID.MA.AM,97224.0,16-06-21,00:06:33,259,1.0,green
323773,1d91fef5eefe0a5cbd9e532a35129f5e25a3698c,128.16882,-3.66169,10.0,ID.MA.AM,97224.0,16-06-21,00:06:44,259,0.999,green
323774,1d91fef5eefe0a5cbd9e532a35129f5e25a3698c,128.16882,-3.66169,7.0,ID.MA.AM,97224.0,16-06-21,00:06:45,259,1.0,green
155170,b155d26f7395eae899ee241bcf1b5f5df64a333d,128.189044,-3.657657,8.0,ID.MA.AM,97223.0,16-06-21,00:06:59,232,0.999,green
664308,e96e876fd464c0f8d1bc06e19e8ab6dadf7da23b,128.165391,-3.70282,4.0,ID.MA.AM,97115.0,16-06-21,00:07:01,1,1.0,green
650970,0c24a5e48f5880c222f9c9413522e7c08cf3c1ab,128.1776,-3.6902,93.0,,,16-06-21,00:07:05,4,0.999,green
27502,d9198ea601dc1adc97549da71f389c65e0eaa70a,128.18807,-3.68717,10.0,ID.MA.AM,97128.0,16-06-21,00:07:05,156,1.0,green
33004,91bb706318f602b726f6042d2d5b3eedd48a0974,128.198843,-3.680428,5.0,ID.MA.AM,97128.0,16-06-21,00:07:27,1399,0.999,green
42699,1a724c5ffdb1413548eeda9c345694466c96fd3b,128.272981,-3.207207,18.0,ID.MA.SB,97564.0,16-06-21,00:07:45,179,1.0,green
27503,d9198ea601dc1adc97549da71f389c65e0eaa70a,128.18805,-3.68718,10.0,ID.MA.AM,97128.0,16-06-21,00:07:50,156,0.999,green
650971,0c24a5e48f5880c222f9c9413522e7c08cf3c1ab,128.1776,-3.6902,93.0,,,16-06-21,00:07:50,4,1.0,green
91291,ec3518ed3c5deeeef8c1349a18ae6c847876bfdc,129.18097,-2.93942,110.0,ID.MA.MT,97544.0,16-06-21,00:09:28,661,1.0,green
664304,4f64f270bbb3d1497ed7ecddc0589f6c5504ea16,128.20378,-3.6913,8.0,ID.MA.AM,97129.0,16-06-21,00:09:32,3,0.999,green
171919,4be0e227df82ac83fe85a9c24c05c774bb487072,128.194223,-3.693693,15.0,ID.MA.AM,97121.0,16-06-21,00:09:40,202,1.0,green
664305,4f64f270bbb3d1497ed7ecddc0589f6c5504ea16,128.20378,-3.6913,7.0,ID.MA.AM,97129.0,16-06-21,00:09:41,3,0.999,green
3131,c4b84290951f9b705673694d5b73cc7130b9d539,129.928342,-2.981949,4.0,ID.MA.MT,97544.0,16-06-21,00:09:44,459,1.0,green
