,maid,longitude,latitude,horizontal_accuracy,city_hasc,postcode,Date,Hour,count,Y,Color
40,2902900bcba601c65303fb13debc43b2473e0de3,128.194223,-3.693693,7.0,ID.MA.AM,97121.0,16-06-21,15:01:51,173,0.999,green
41,2902900bcba601c65303fb13debc43b2473e0de3,128.19422,-3.6937,9.0,ID.MA.AM,97121.0,16-06-21,15:01:52,173,1.0,green
42,54fe95306c02a61d09a6c532b9caaa66c7fd429f,129.97631,-3.02959,5.0,ID.MA.MT,97544.0,16-06-21,15:01:52,5,0.999,green
43,fded22b6f86413b42bdb7db34043e514dfe1437e,128.166724,-3.70878,21.0,ID.MA.AM,97116.0,16-06-21,15:01:59,3,1.0,green
44,7702c959519e129b7075eb337609c838744edc76,128.220024,-3.621621,18.0,ID.MA.AM,97217.0,16-06-21,15:02:01,189,0.999,green
45,23cf5ed01833a776b95ab49fd34216c4d812ba2a,128.274186,-3.621621,7.0,,,16-06-21,15:02:06,177,1.0,green
46,58bee5709619473cc60584569a21fdf2e946f80a,128.207099,-3.657657,4.0,,,16-06-21,15:02:07,83,0.999,green
47,09d651945a48923383fd4b64c0f91acf4a6b7684,128.190298,-3.687035,9.0,ID.MA.AM,97122.0,16-06-21,15:02:17,2666,0.999,green
48,84ee9900948cad269104ce02f1528eb4c8a28ffa,127.93626,-3.131991,4.0,ID.MA.SB,97572.0,16-06-21,15:02:19,9,1.0,green
49,38c9454fea43fe1cdc250b49d037466a00e0fb01,128.087712,-3.581333,6.0,ID.MA.MT,97543.0,16-06-21,15:02:33,57,0.999,green
50,6b5c374b1365747aa16e4453d87e0672c22c0047,128.33511,-3.59278,7.0,ID.MA.MT,97544.0,16-06-21,15:02:35,99,1.0,green
51,6c7bf9c3be31fc8d263867e3b406e56552d09f16,128.541194,-2.850238,12.0,ID.MA.SB,97562.0,16-06-21,15:02:36,1,0.999,green
52,2853decab5448d54c62d1f74fd4af88ba1d58a5a,128.171592,-3.705929,6.0,ID.MA.AM,97115.0,16-06-21,15:02:36,1003,1.0,green
53,124cc4b03c126b57dd413a5056fd8786084b8569,128.2845,-3.693693,5.0,ID.MA.AM,97136.0,16-06-21,15:02:37,814,0.999,green
54,09d651945a48923383fd4b64c0f91acf4a6b7684,128.19029,-3.68704,6.0,ID.MA.AM,97122.0,16-06-21,15:02:43,2666,1.0,green
55,58a7cc28b3882603c0e1fb19d6a23e65b5d00f92,128.17093,-3.708299,6.0,ID.MA.AM,97116.0,16-06-21,15:02:44,300,1.0,green
56,38c9454fea43fe1cdc250b49d037466a00e0fb01,128.087712,-3.581333,8.0,ID.MA.MT,97543.0,16-06-21,15:02:45,57,0.999,green
57,2853decab5448d54c62d1f74fd4af88ba1d58a5a,128.17159,-3.705929,4.0,ID.MA.AM,97115.0,16-06-21,15:02:45,1003,1.0,green
58,abbc463e37393420083a8c723d718f76eda81c26,128.1724,-3.711107,7.0,ID.MA.AM,97116.0,16-06-21,15:02:53,4,0.999,green
59,b0b905bce315a81d0d19d9be3601dbeb4522e923,128.17616,-3.693693,16.0,ID.MA.AM,,16-06-21,15:03:07,174,1.0,green
60,e022d7def440c5d412cf8937c14b77f0ca123df1,128.355131,-3.335357,9.0,ID.MA.SB,97566.0,16-06-21,15:03:13,1,1.0,green
61,09d651945a48923383fd4b64c0f91acf4a6b7684,128.19029,-3.68704,5.0,ID.MA.AM,97122.0,16-06-21,15:03:15,2666,0.999,green
62,03b9bd1639d05905dbf7170c2440288bcfc791cb,128.18869,-3.648475,10.0,ID.MA.AM,97228.0,16-06-21,15:03:16,12,1.0,green
63,46a2aafa93656b852bc4c98eebdf54e828b9d73a,128.193495,-3.681055,23.0,ID.MA.AM,97128.0,16-06-21,15:03:19,2,1.0,green
64,821377d6ce4c9095bead8537843a3cd8b1b11115,128.188818,-3.64843,6.0,ID.MA.AM,97228.0,16-06-21,15:03:21,8,1.0,green
65,821377d6ce4c9095bead8537843a3cd8b1b11115,128.18881,-3.64843,15.0,ID.MA.AM,97228.0,16-06-21,15:03:23,8,1.0,green
66,03b9bd1639d05905dbf7170c2440288bcfc791cb,128.18869,-3.648475,13.0,ID.MA.AM,97228.0,16-06-21,15:03:24,12,1.0,green
